,Unix,open,high,low,close,EMA_50,EMA_200,RSI
0,1604188800000,2.2648,2.4537,2.219,2.3765,,,
1,1604275200000,2.3764,2.4541,2.2228,2.254,,,
2,1604361600000,2.2526,2.281,2.0554,2.138,,,
3,1604448000000,2.136,2.1664,1.8758,1.9281,,,
4,1604534400000,1.9271,2.431,1.7563,2.1901,,,
5,1604620800000,2.1892,2.6877,2.1735,2.5657,,,
6,1604707200000,2.5681,3.0287,2.422,2.4755,,,
7,1604793600000,2.4755,2.9229,2.4317,2.8653,,,
8,1604880000000,2.8625,2.8785,2.5731,2.6822,,,
9,1604966400000,2.6792,3.1766,2.6267,3.0759,,,
10,1605052800000,3.0772,3.2161,2.8721,2.9308,,,
11,1605139200000,2.9309,3.1387,2.8333,2.9582,,,
12,1605225600000,2.9594,3.9859,2.935,3.8614,,,
13,1605312000000,3.8578,3.968,3.5113,3.8165,,,
14,1605398400000,3.8127,4.2497,3.6143,3.8458,,,72.31147690345308
15,1605484800000,3.8471,3.95,3.45,3.5634,,,66.1973065974888
16,1605571200000,3.5618,3.8732,3.476,3.8104,,,68.69085845249955
17,1605657600000,3.8135,3.8499,3.271,3.4607,,,61.746059074739826
18,1605744000000,3.4622,3.89,3.2093,3.7417,,,64.82362401584474
19,1605830400000,3.7447,4.0899,3.6764,3.8552,,,66.01299718093013
20,1605916800000,3.8573,3.94,3.5892,3.8366,,,65.62142263904815
21,1606003200000,3.8382,3.9483,3.41,3.6763,,,62.19720673814342
22,1606089600000,3.681,4.2292,3.6312,4.1842,,,67.91073792443964
23,1606176000000,4.1855,4.4857,3.9274,4.0627,,,65.36559216386689
24,1606262400000,4.063,4.2,3.51,3.6773,,,57.94694266754814
25,1606348800000,3.6748,3.7684,3.1,3.43,,,53.73277318627695
26,1606435200000,3.4324,3.5369,3.1613,3.3067,,,51.71343749559826
27,1606521600000,3.3057,3.535,3.2559,3.4616,,,54.049746086709035
28,1606608000000,3.4584,3.572,3.36,3.5514,,,55.39708472477183
29,1606694400000,3.5524,3.8105,3.5315,3.7824,,,58.74793390053835
30,1606780800000,3.7765,3.9851,3.3852,3.55,,,54.32603817946106
31,1606867200000,3.5456,4.17,3.2251,3.9484,,,59.89846963512967
32,1606953600000,3.9455,4.0233,3.7992,3.8829,,,58.63193539754855
33,1607040000000,3.8811,3.9207,3.4964,3.516,,,51.999250212164924
34,1607126400000,3.5161,3.6982,3.4442,3.6834,,,54.5268186214279
35,1607212800000,3.6785,3.7894,3.5069,3.6482,,,53.88429515021238
36,1607299200000,3.6482,3.8794,3.5617,3.7574,,,55.63101397045991
37,1607385600000,3.7569,3.7618,3.2775,3.2982,,,47.48581065201424
38,1607472000000,3.3007,3.3943,3.116,3.3511,,,48.42268672002224
39,1607558400000,3.3502,3.3716,3.1899,3.239,,,46.5283475797777
