,Unix,open,high,low,close,EMA_50,EMA_200,RSI
0,1604188800000,13791.0,13895.0,13603.0,13761.5,,,
1,1604275200000,13761.49,13830.0,13195.05,13549.37,,,
2,1604361600000,13549.63,14066.11,13284.99,14023.53,,,
3,1604448000000,14023.53,14259.0,13525.0,14144.01,,,
4,1604534400000,14144.01,15750.0,14093.56,15590.02,,,
5,1604620800000,15590.02,15960.0,15166.0,15579.92,,,
6,1604707200000,15579.93,15753.52,14344.22,14818.3,,,
7,1604793600000,14818.3,15650.0,14703.88,15475.1,,,
8,1604880000000,15475.1,15840.0,14805.54,15328.41,,,
9,1604966400000,15328.41,15460.0,15072.46,15297.21,,,
10,1605052800000,15297.21,15965.0,15272.68,15684.24,,,
11,1605139200000,15684.25,16340.7,15440.64,16291.86,,,
12,1605225600000,16291.85,16480.0,15952.35,16320.7,,,
13,1605312000000,16320.04,16326.99,15670.0,16070.45,,,
14,1605398400000,16069.56,16180.0,15774.72,15957.0,,,70.92395137218423
15,1605484800000,15957.0,16880.0,15864.0,16713.57,,,74.83248920108045
16,1605571200000,16713.08,17858.82,16538.0,17659.38,,,78.68920812868693
17,1605657600000,17659.38,18476.93,17214.45,17776.12,,,79.11463053414244
18,1605744000000,17777.75,18179.8,17335.65,17802.82,,,79.21682067830636
19,1605830400000,17802.81,18815.22,17740.04,18655.67,,,82.21092124244225
20,1605916800000,18655.66,18965.9,18308.58,18703.8,,,82.36532213983672
21,1606003200000,18703.8,18750.0,17610.86,18414.43,,,77.98286311315664
22,1606089600000,18413.88,18766.0,18000.0,18368.0,,,77.27242238163477
23,1606176000000,18368.01,19418.97,18018.0,19160.01,,,80.53074880238015
24,1606262400000,19160.0,19484.21,18500.27,18719.11,,,74.15709775871635
25,1606348800000,18718.83,18915.03,16188.0,17149.47,,,56.89342283335177
26,1606435200000,17149.47,17457.62,16438.08,17139.52,,,56.80314925748247
27,1606521600000,17139.53,17880.49,16865.56,17719.85,,,60.718111404607555
28,1606608000000,17719.84,18360.05,17517.0,18184.99,,,63.56814583333708
29,1606694400000,18185.0,19863.16,18184.99,19695.87,,,70.9428110730866
30,1606780800000,19695.87,19888.0,18001.12,18764.96,,,62.542443535416304
31,1606867200000,18764.96,19342.0,18330.0,19204.09,,,64.66779487675043
32,1606953600000,19204.08,19598.0,18867.2,19421.9,,,65.70715069658931
33,1607040000000,19422.34,19527.0,18565.31,18650.52,,,59.07886944905313
34,1607126400000,18650.51,19177.0,18500.0,19147.66,,,61.75644403240873
35,1607212800000,19147.66,19420.0,18857.0,19359.4,,,62.87078626399691
36,1607299200000,19358.67,19420.91,18902.88,19166.9,,,61.1269505735724
37,1607385600000,19166.9,19294.84,18200.0,18324.11,,,54.05749585029499
38,1607472000000,18324.11,18639.57,17650.0,18541.28,,,55.486106584509685
39,1607558400000,18541.29,18557.32,17911.12,18254.63,,,53.13736074549187
40,1607644800000,18254.81,18292.73,17572.33,18036.53,,,51.3560813160648
41,1607731200000,18036.53,18948.66,18020.7,18808.69,,,56.86873361004162
42,1607817600000,18808.69,19411.0,18711.12,19174.99,,,59.229188495506726
43,1607904000000,19174.99,19349.0,19000.0,19273.14,,,59.8630378639603
44,1607990400000,19273.69,19570.0,19050.0,19426.43,,,60.885810833324946
45,1608076800000,19426.43,21560.0,19278.6,21335.52,,,70.84877920582966
46,1608163200000,21335.52,23800.0,21230.0,22797.16,,,75.90840765583152
47,1608249600000,22797.15,23285.18,22350.0,23107.39,,,76.82771106512362
48,1608336000000,23107.39,24171.47,22750.0,23821.61,,,78.83050707822777
49,1608422400000,23821.6,24295.0,23060.0,23455.52,19117.337905174947,,75.24077855505924
50,1608508800000,23455.54,24102.77,21815.0,22719.71,19279.715390671092,,68.48995623579171
51,1608595200000,22719.88,23837.1,22353.4,23810.79,19482.764526891933,,72.43885695035394
52,1608681600000,23810.79,24100.0,22600.0,23232.76,19649.87618713766,,67.60509661749788
53,1608768000000,23232.39,23794.43,22703.42,23729.2,19830.6968257408,,69.48823373972694
54,1608854400000,23728.99,24789.86,23433.6,24712.47,20045.98671234396,,72.85412310047114
55,1608940800000,24712.47,26867.03,24500.0,26493.39,20328.939824618465,,77.66090455475675
56,1609027200000,26493.4,28422.0,25700.0,26281.66,20588.968580349945,,75.93927535501011
57,1609113600000,26281.54,27500.0,26101.0,27079.41,20871.225514702186,,77.9249494946462
