,Unix,open,high,low,close,EMA_50,EMA_200,RSI
54,1608854400000,0.478,0.537,0.463,0.489,0.6206007378506122,,39.84127996458227
55,1608940800000,0.489,0.493,0.448,0.47,0.6139914184728013,,38.46278151473994
56,1609027200000,0.471,0.516,0.438,0.472,0.6077889008367923,,38.70320221890239
57,1609113600000,0.473,0.524,0.468,0.498,0.6030143906652227,,41.88206799685627
58,1609200000000,0.498,0.513,0.442,0.474,0.5974276693198585,,39.82876149232206
59,1609286400000,0.475,0.598,0.466,0.582,0.5967623231538277,,51.38019914012661
60,1609372800000,0.582,0.641,0.518,0.627,0.5980612972543372,,55.23628463909884
61,1609459200000,0.628,0.677,0.605,0.62,0.5990002428706765,,54.51202216899139
62,1609545600000,0.621,0.625,0.564,0.613,0.5995972736764835,,53.75299232596406
63,1609632000000,0.613,0.696,0.586,0.677,0.6028868909068154,,59.328939750493625
64,1609718400000,0.678,0.733,0.581,0.676,0.6059840273073286,,59.208816763207274
65,1609804800000,0.676,0.728,0.623,0.688,0.6094474039106015,,60.248915217305395
66,1609891200000,0.688,0.785,0.67,0.731,0.6145649200460513,,63.80989780523164
67,1609977600000,0.732,0.79,0.682,0.716,0.6188231761561243,,61.732395649317006
68,1610064000000,0.719,0.735,0.62,0.694,0.6219704074197777,,58.713107211562374
69,1610150400000,0.694,0.8,0.668,0.767,0.6280259424017557,,64.85545328456116
70,1610236800000,0.767,0.842,0.698,0.754,0.6332725202475358,,63.05635004187934
71,1610323200000,0.753,0.756,0.531,0.622,0.6328041805902971,,48.380709066326794
72,1610409600000,0.623,0.673,0.59,0.624,0.6324392438877173,,48.575996761808824
73,1610496000000,0.624,0.693,0.603,0.687,0.6346957657513176,,54.42503459780054
74,1610582400000,0.686,0.8,0.662,0.796,0.6413527196372126,,62.39467197864468
75,1610668800000,0.798,1.198,0.786,1.149,0.6622601556209339,,76.64092688040662
76,1610755200000,1.147,1.267,1.033,1.108,0.6805818554062806,,73.17356341361682
77,1610841600000,1.108,1.79,1.053,1.691,0.7220358247694055,,84.15262672737339
78,1610928000000,1.69,1.783,1.385,1.605,0.7581953177605272,,79.01540121301599
79,1611014400000,1.605,1.664,1.311,1.331,0.7816123698524731,,65.33122779297872
80,1611100800000,1.33,1.649,1.257,1.629,0.8161971467360734,,71.1776098971504
81,1611187200000,1.628,1.93,1.45,1.681,0.8514363957166499,,72.0629320312297
82,1611273600000,1.679,2.13,1.415,1.963,0.8966614139942221,,76.3123027592828
83,1611360000000,1.965,2.3,1.911,2.14,0.9471735562034893,,78.52067955928148
84,1611446400000,2.139,2.35,2.036,2.26,1.0004336022579021,,79.8895571968064
85,1611532800000,2.26,2.311,1.967,2.005,1.041132770404247,,69.72116385513525
86,1611619200000,2.006,2.24,1.82,2.146,1.0858374948326397,,71.85438866208159
87,1611705600000,2.146,2.148,1.736,1.814,1.1152634706682627,,60.96333667652958
88,1611792000000,1.815,2.202,1.75,2.08,1.15420314877352,,65.4781410985825
89,1611878400000,2.08,2.131,1.856,2.046,1.1901575097361805,,64.45205225188442
90,1611964800000,2.046,2.672,1.885,2.548,1.2448411108200805,,71.54277698897266
91,1612051200000,2.548,2.849,2.282,2.511,1.2957785642967814,,70.42770648208497
92,1612137600000,2.514,2.69,2.3,2.54,1.3457827608179518,,70.81170209513242
93,1612224000000,2.539,2.756,2.42,2.5,1.392124653623708,,69.47172911881535
94,1612310400000,2.5,2.704,2.4,2.637,1.4420598168177121,,71.46348967882939
95,1612396800000,2.637,3.205,2.546,3.026,1.5055388117727,,76.20971438201826
96,1612483200000,3.027,3.369,3.02,3.263,1.575911357712426,,78.55043387755273
97,1612569600000,3.263,3.666,3.0,3.15,1.6388892207397057,,74.77289706929987
98,1612656000000,3.146,3.195,2.65,2.981,1.6925432896194414,,69.3976569583316
99,1612742400000,2.98,3.239,2.849,3.06,1.7471690144288867,,70.4664518213036
