1604188800000,0.416,0.423,0.388,0.401,8422934.806
1604275200000,0.402,0.425,0.356,0.361,10191779.96
1604361600000,0.36,0.37,0.34,0.356,10354307.399
1604448000000,0.356,0.378,0.33,0.342,10564571.632
1604534400000,0.342,0.385,0.331,0.36,12432209.077
1604620800000,0.362,0.448,0.356,0.438,19602793.33
1604707200000,0.437,0.548,0.395,0.43,41314241.816
1604793600000,0.429,0.49,0.419,0.471,18140673.752
1604880000000,0.471,0.496,0.422,0.454,18552970.662
1604966400000,0.454,0.601,0.443,0.566,29849299.35
1605052800000,0.565,0.655,0.531,0.544,36501876.706
1605139200000,0.544,0.595,0.512,0.563,21078339.499
1605225600000,0.564,0.699,0.546,0.684,33698107.498
1605312000000,0.683,0.747,0.595,0.71,42304852.884
1605398400000,0.71,0.845,0.704,0.78,48454177.801
1605484800000,0.779,0.841,0.691,0.825,34085704.256
1605571200000,0.824,0.91,0.802,0.876,33462717.3
1605657600000,0.876,0.888,0.692,0.759,40899603.378
1605744000000,0.757,0.845,0.71,0.801,34517417.15
1605830400000,0.803,0.957,0.792,0.857,43424170.523
1605916800000,0.857,0.897,0.79,0.853,29771384.006
1606003200000,0.853,0.873,0.692,0.746,38280306.506
1606089600000,0.747,0.804,0.713,0.742,22896240.286
1606176000000,0.742,0.796,0.659,0.686,30052312.092
1606262400000,0.685,0.757,0.625,0.641,28714206.241
1606348800000,0.641,0.663,0.485,0.594,40674814.897
1606435200000,0.594,0.644,0.543,0.641,32229365.127
1606521600000,0.642,0.65,0.587,0.608,16301688.329
1606608000000,0.609,0.688,0.592,0.656,20651298.924
1606694400000,0.656,0.73,0.656,0.675,21513399.268
1606780800000,0.675,0.76,0.628,0.679,36225948.791
1606867200000,0.68,0.819,0.66,0.801,38982203.578
1606953600000,0.8,0.858,0.767,0.829,28159590.928
1607040000000,0.829,0.835,0.668,0.685,27374746.175
1607126400000,0.684,0.742,0.668,0.741,20276840.355
1607212800000,0.741,0.748,0.67,0.702,14865944.365
1607299200000,0.703,0.744,0.684,0.708,16346766.232
1607385600000,0.707,0.711,0.588,0.609,24097833.377
1607472000000,0.608,0.642,0.562,0.633,18630383.304
1607558400000,0.634,0.642,0.581,0.599,11462829.04
1607644800000,0.601,0.603,0.535,0.557,16579977.921
1607731200000,0.557,0.599,0.556,0.591,10849015.186
1607817600000,0.592,0.637,0.576,0.617,12983066.505
1607904000000,0.616,0.643,0.592,0.638,11328017.43
1607990400000,0.638,0.672,0.622,0.628,14067958.965
1608076800000,0.629,0.653,0.595,0.651,13327715.741
1608163200000,0.651,0.687,0.614,0.655,21989991.099
1608249600000,0.655,0.656,0.621,0.645,11930097.165
1608336000000,0.644,0.7,0.639,0.664,14065833.295
1608422400000,0.665,0.667,0.607,0.616,13320732.482
1608508800000,0.616,0.629,0.54,0.558,16335309.991
1608595200000,0.558,0.571,0.509,0.558,14871269.319
1608681600000,0.558,0.57,0.385,0.42,25213644.635
1608768000000,0.42,0.481,0.407,0.479,18048611.905
1608854400000,0.478,0.537,0.463,0.489,24514246.203
